dem_req_rate	req_rate_api.v2.family.com	con_rate_api.v2.family.com	min_rep_rate_api.v2.family.com	avg_rep_rate_api.v2.family.com	max_rep_rate_api.v2.family.com	stddev_rep_rate_api.v2.family.com	resp_time_api.v2.family.com	net_io_api.v2.family.com	errors_api.v2.family.com
1	1.0	1.0	1.0	1.0	1.0	0.0	33.7	0.4	0
2	2.0	2.0	2.0	2.0	2.0	0.0	29.4	0.9	0
3	3.1	3.1	3.0	3.0	3.0	0.0	28.5	1.3	0
4	4.1	4.1	4.0	4.0	4.0	0.0	28.2	1.8	0
5	5.1	5.1	5.0	5.0	5.0	0.0	29.8	2.2	0
6	6.1	6.1	6.0	6.0	6.0	0.0	28.6	2.7	0
7	7.1	7.1	7.0	7.0	7.0	0.0	27.8	3.1	0
8	8.1	8.1	8.0	8.0	8.0	0.0	27.7	3.6	0
9	9.1	9.1	9.0	9.0	9.0	0.0	28.8	4.0	0
10	10.1	10.1	0.0	0.0	0.0	0.0	27.8	4.5	0
11	11.2	11.2	0.0	0.0	0.0	0.0	27.3	4.9	0
12	12.2	12.2	0.0	0.0	0.0	0.0	27.6	5.3	0
13	13.2	13.2	0.0	0.0	0.0	0.0	27.6	5.8	0
14	14.2	14.2	0.0	0.0	0.0	0.0	27.6	6.2	0
15	15.2	15.2	0.0	0.0	0.0	0.0	27.9	6.7	0
16	16.2	16.2	0.0	0.0	0.0	0.0	27.7	7.1	0
17	17.2	17.2	0.0	0.0	0.0	0.0	27.6	7.5	0
18	18.2	18.2	0.0	0.0	0.0	0.0	28.5	8.0	0
19	19.2	19.2	0.0	0.0	0.0	0.0	33.8	8.4	0
20	20.2	20.2	0.0	0.0	0.0	0.0	27.7	8.9	0
21	21.2	21.2	0.0	0.0	0.0	0.0	27.6	9.3	0
22	22.2	22.2	0.0	0.0	0.0	0.0	27.5	9.7	0
23	23.2	23.2	0.0	0.0	0.0	0.0	27.2	10.2	0
24	24.2	24.2	0.0	0.0	0.0	0.0	27.6	10.6	0
25	25.1	25.1	0.0	0.0	0.0	0.0	27.9	11.1	0
26	26.1	26.1	0.0	0.0	0.0	0.0	27.9	11.5	0
27	27.1	27.1	0.0	0.0	0.0	0.0	29.4	11.9	0
28	28.1	28.1	0.0	0.0	0.0	0.0	27.7	12.4	0
29	29.1	29.1	0.0	0.0	0.0	0.0	27.8	12.8	0
30	30.1	30.1	0.0	0.0	0.0	0.0	28.2	13.2	0
31	31.1	31.1	0.0	0.0	0.0	0.0	28.1	13.7	0
32	32.0	32.0	0.0	0.0	0.0	0.0	31.7	14.1	0
33	33.1	33.1	0.0	0.0	0.0	0.0	30.3	14.5	0
34	33.9	33.9	0.0	0.0	0.0	0.0	33.1	14.9	0
35	35.0	35.0	0.0	0.0	0.0	0.0	35.9	15.4	0
36	35.8	35.8	0.0	0.0	0.0	0.0	53.0	15.8	0
37	35.4	35.4	0.0	0.0	0.0	0.0	132.1	15.5	0
38	35.3	35.3	0.0	0.0	0.0	0.0	166.2	15.5	0
39	36.0	36.0	0.0	0.0	0.0	0.0	176.3	15.8	0
40	35.7	35.7	0.0	0.0	0.0	0.0	209.6	15.7	0
41	36.6	36.6	0.0	0.0	0.0	0.0	204.3	16.1	0
42	37.7	37.7	0.0	0.0	0.0	0.0	189.9	16.6	0
43	36.4	36.4	0.0	0.0	0.0	0.0	249.1	16.0	0
44	36.9	36.9	0.0	0.0	0.0	0.0	247.6	16.2	0
45	36.9	36.9	0.0	0.0	0.0	0.0	259.0	16.2	0
46	37.5	37.5	0.0	0.0	0.0	0.0	258.9	16.5	0
47	36.3	36.3	0.0	0.0	0.0	0.0	304.7	16.0	0
48	36.6	36.6	0.0	0.0	0.0	0.0	307.4	16.1	0
49	36.6	36.6	0.0	0.0	0.0	0.0	323.8	16.1	0
50	36.1	36.1	0.0	0.0	0.0	0.0	343.2	15.9	0
